locationtext,detectorid,starttime,volume,speed,length
Foster NB,1361,2011-09-22 02:12:40,2,65,1.6
Foster NB,1361,2011-09-22 02:13:00,0,,1.6
Foster NB,1361,2011-09-22 02:13:20,0,,1.6
Foster NB,1361,2011-09-22 02:13:40,0,,1.6
Foster NB,1361,2011-09-22 02:14:00,0,,1.6
Foster NB,1361,2011-09-22 02:14:20,0,,1.6
Foster NB,1361,2011-09-22 02:14:40,0,,1.6
Foster NB,1361,2011-09-22 02:15:00,1,68,1.6
Foster NB,1361,2011-09-22 02:15:20,0,,1.6
Foster NB,1361,2011-09-22 02:15:40,1,67,1.6
Foster NB,1361,2011-09-22 02:16:00,0,,1.6
Foster NB,1361,2011-09-22 02:16:20,0,,1.6
Foster NB,1361,2011-09-22 02:16:40,0,,1.6
Foster NB,1361,2011-09-22 02:17:00,0,,1.6
Foster NB,1361,2011-09-22 02:17:20,0,,1.6
Foster NB,1361,2011-09-22 02:17:40,0,,1.6
Foster NB,1361,2011-09-22 02:18:00,0,,1.6
Foster NB,1361,2011-09-22 02:18:20,0,,1.6
Foster NB,1361,2011-09-22 02:18:40,0,,1.6
Foster NB,1361,2011-09-22 02:19:00,,,1.6
Foster NB,1361,2011-09-22 02:19:20,0,,1.6
Foster NB,1361,2011-09-22 02:19:40,0,,1.6
Foster NB,1361,2011-09-22 02:20:00,0,,1.6
Foster NB,1361,2011-09-22 02:20:20,0,,1.6
Foster NB,1361,2011-09-22 02:20:40,0,,1.6
Foster NB,1361,2011-09-22 02:21:00,0,,1.6
Foster NB,1361,2011-09-22 02:21:20,0,,1.6
Foster NB,1361,2011-09-22 02:21:40,0,,1.6
Foster NB,1361,2011-09-22 02:22:00,0,,1.6
Foster NB,1361,2011-09-22 02:22:20,0,,1.6
Foster NB,1361,2011-09-22 02:22:40,0,,1.6
Foster NB,1361,2011-09-22 02:23:00,0,,1.6
Foster NB,1361,2011-09-22 02:23:20,0,,1.6
Foster NB,1361,2011-09-22 02:23:40,0,,1.6
Foster NB,1361,2011-09-22 02:24:00,0,,1.6
Foster NB,1361,2011-09-22 02:24:20,0,,1.6
Foster NB,1361,2011-09-22 02:24:40,1,50,1.6
Foster NB,1361,2011-09-22 02:25:00,1,64,1.6
Foster NB,1361,2011-09-22 02:25:20,0,,1.6
Foster NB,1361,2011-09-22 02:25:40,0,,1.6
Foster NB,1361,2011-09-22 02:26:00,0,,1.6
Foster NB,1361,2011-09-22 02:26:20,0,,1.6
Foster NB,1361,2011-09-22 02:26:40,0,,1.6
Foster NB,1361,2011-09-22 02:27:00,0,,1.6
Foster NB,1361,2011-09-22 02:27:20,0,,1.6
Foster NB,1361,2011-09-22 02:27:40,1,67,1.6
Foster NB,1361,2011-09-22 02:28:00,0,,1.6
Foster NB,1361,2011-09-22 02:28:20,0,,1.6
Foster NB,1361,2011-09-22 02:28:40,0,,1.6
Foster NB,1361,2011-09-22 02:29:00,0,,1.6
Foster NB,1361,2011-09-22 02:29:20,0,,1.6
Foster NB,1361,2011-09-22 02:29:40,0,,1.6
Foster NB,1361,2011-09-22 02:30:00,0,,1.6
Foster NB,1361,2011-09-22 02:30:20,0,,1.6
Foster NB,1361,2011-09-22 02:30:40,1,64,1.6
Foster NB,1361,2011-09-22 02:31:00,0,,1.6
Foster NB,1361,2011-09-22 02:31:20,1,68,1.6
Foster NB,1361,2011-09-22 02:31:40,0,,1.6
Foster NB,1361,2011-09-22 02:32:00,0,,1.6
Foster NB,1361,2011-09-22 02:32:20,0,,1.6
Foster NB,1361,2011-09-22 02:32:40,0,,1.6
Foster NB,1361,2011-09-22 02:33:00,0,,1.6
Foster NB,1361,2011-09-22 02:33:20,0,,1.6
Foster NB,1361,2011-09-22 02:33:40,0,,1.6
Foster NB,1361,2011-09-22 02:34:00,0,,1.6
Foster NB,1361,2011-09-22 02:34:20,0,,1.6
Foster NB,1361,2011-09-22 02:34:40,0,,1.6
Foster NB,1361,2011-09-22 02:35:00,1,50,1.6
Foster NB,1361,2011-09-22 02:35:20,0,,1.6
Foster NB,1361,2011-09-22 02:35:40,0,,1.6
Foster NB,1361,2011-09-22 02:36:00,0,,1.6
Foster NB,1361,2011-09-22 02:36:20,0,,1.6
Foster NB,1361,2011-09-22 02:36:40,1,68,1.6
Foster NB,1361,2011-09-22 02:37:00,0,,1.6
Foster NB,1361,2011-09-22 02:37:20,0,,1.6
Foster NB,1361,2011-09-22 02:37:40,0,,1.6
Foster NB,1361,2011-09-22 02:38:00,0,,1.6
